timestamp,time_s,mission_id,mission_phase,lat,lon,alt_m,speed_ms,gps_satellites,hdop,roll_deg,pitch_deg,yaw_deg,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,battery_pct,voltage_v,current_a,motor_temp_c,rssi_dbm,anomaly,anomaly_type
2024-03-15 10:00:00,0,0,takeoff,40.418825,-3.703895,-0.33,10.444,12,2.38,0.918,6.175,359.928,-0.0798,0.3757,0.9843,-0.354,-3.317,1.539,98.04,21.806,16.612,65.21,-63.4,0,normal
2024-03-15 10:00:01,1,0,takeoff,40.418792,-3.70378,0.31,8.412,12,1.24,1.555,3.117,1.184,0.0696,0.3819,1.0233,-0.421,-0.408,1.172,98.02,21.869,14.643,60.99,-72.0,0,normal
2024-03-15 10:00:02,2,0,takeoff,40.418828,-3.703695,0.72,11.956,11,1.41,1.131,4.656,2.432,-0.0639,-0.1392,1.0157,-1.837,0.714,1.647,98.01,21.812,17.851,67.0,-74.9,0,normal
2024-03-15 10:00:03,3,0,takeoff,40.418867,-3.703517,1.34,7.92,12,2.25,-1.532,4.922,4.073,-0.6569,-0.4663,0.9996,-0.052,-0.016,1.173,97.87,21.799,14.325,60.68,-65.1,0,normal
2024-03-15 10:00:04,4,0,takeoff,40.418773,-3.703522,1.94,6.007,13,1.4,0.877,4.952,4.426,-0.107,0.339,1.0029,1.248,-0.243,0.497,97.9,21.799,12.985,58.37,-68.2,0,normal
2024-03-15 10:00:05,5,0,takeoff,40.418764,-3.703554,2.75,6.415,11,1.32,-0.06,5.081,5.577,0.3303,0.3532,0.9998,0.582,-0.157,1.518,98.07,21.792,12.979,58.44,-62.0,0,normal
2024-03-15 10:00:06,6,0,takeoff,40.418844,-3.703401,2.9,4.829,12,1.34,1.346,5.467,7.818,0.0879,-0.543,1.0097,0.953,0.022,1.596,98.05,21.824,11.499,55.05,-64.2,0,normal
2024-03-15 10:00:07,7,0,takeoff,40.41879,-3.703441,3.02,9.558,11,1.57,3.026,4.77,8.169,0.1169,-0.1838,0.984,0.378,-0.303,1.481,98.04,21.806,15.364,62.81,-65.5,0,normal
2024-03-15 10:00:08,8,0,takeoff,40.418714,-3.703248,4.34,7.756,11,1.76,2.474,4.378,8.968,-0.202,0.2814,1.0173,0.396,-0.135,1.798,97.94,21.776,14.757,61.39,-68.7,0,normal
2024-03-15 10:00:09,9,0,takeoff,40.418748,-3.703266,4.25,3.386,11,1.32,3.742,4.272,10.557,0.1137,-0.1138,1.0071,0.146,-0.5,0.869,98.07,21.784,10.61,54.64,-65.2,0,normal
2024-03-15 10:00:10,10,0,takeoff,40.418679,-3.703187,4.98,10.24,13,1.5,3.028,3.994,11.835,-0.0026,0.0725,0.9947,-1.351,0.419,1.147,97.96,21.81,16.427,64.98,-68.4,0,normal
2024-03-15 10:00:11,11,0,takeoff,40.418658,-3.703056,5.63,2.676,11,1.74,1.31,5.311,13.977,-0.4973,-0.0762,0.9902,-2.33,0.695,1.246,98.13,21.877,9.91,53.5,-67.0,0,normal
